key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_valid,2896,1056,1840,36.464088,-4999.602521,-724.209048,1995.860541,2279.532932,-1.726382,12.115001,-20.488472,4.779006
passed:confirmation_bearish_or_neutral,1407,542,865,38.521677,-2118.741177,-122.987752,943.373658,1052.379768,-1.505857,13.142226,-19.664227,4.501066
passed:confirmation_bullish_or_neutral,1489,514,975,34.519812,-2880.861344,-601.221296,1052.486884,1227.153165,-1.934762,11.144345,-21.267326,5.041639
passed:pullback_near_vwap_or_ema21,2896,1056,1840,36.464088,-4999.602521,-724.209048,1995.860541,2279.532932,-1.726382,12.115001,-20.488472,4.779006
passed:reclaim_above_ema8_or_vwap,1489,514,975,34.519812,-2880.861344,-601.221296,1052.486884,1227.153165,-1.934762,11.144345,-21.267326,5.041639
passed:reject_below_ema8_or_vwap,1407,542,865,38.521677,-2118.741177,-122.987752,943.373658,1052.379768,-1.505857,13.142226,-19.664227,4.501066
passed:screening_bearish,1407,542,865,38.521677,-2118.741177,-122.987752,943.373658,1052.379768,-1.505857,13.142226,-19.664227,4.501066
passed:screening_bullish,1489,514,975,34.519812,-2880.861344,-601.221296,1052.486884,1227.153165,-1.934762,11.144345,-21.267326,5.041639
passed:volume_acceptable,2896,1056,1840,36.464088,-4999.602521,-724.209048,1995.860541,2279.532932,-1.726382,12.115001,-20.488472,4.779006
